관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
김해가야테마파크,관광지,경상남도 김해시 가야테마길 161,경상남도 김해시 어방동 986,35.25163508,128.8937494,165078,일반음식점+화장실+공연장+주차장,카라반 캠핑장,가야무사어드벤처+익사이팅 사이클+익사이팅 타워,철광산공연장,,,2015-05-21,5000,281,"가야의 역사를 놀이, 체험, 전시를 통해 보고 듣고 느낄 수 있는 오감 체험형 테마파크",055-330-3901,경상남도 김해시청,2023-12-06,5350000,경상남도 김해시
김해낙동강레일파크,관광지,경상남도 김해시 생림면 마사로473번길 41,경상남도 김해시 생림면 마사리 654-4,35.37177644,128.8208387,313.87,전망대+열차카페+주차장+화장실,없음,낙동강레일바이크,와인동굴+철교전망대,열차카페,,2016-04-22,1000,210,"밀양시 삼랑진역과 광주시 광주송정역을 잇는 경전선으로 레일바이크, 와인동굴, 열차카페, 철교 전망대를 조성",055-330-3901,경상남도 김해시청,2023-12-06,5350000,경상남도 김해시
가야랜드,관광지,경상남도 김해시 인제로 368(삼방동),경상남도 김해시 삼방동 1391-2,35.25817158,128.9024348,1352.91,음식점+화장실+주차장+의무실,카라반+글램핑+오토캠핑장,14종의 유기기구,,,,1991-10-05,1000,398,가야테마파크 건너편에 자리한 어드벤처 놀이동산,055-330-3241,경상남도 김해시청,2023-12-06,5350000,경상남도 김해시
김해천문대,관광지,경상남도 김해시 가야테마길 254(어방동),경상남도 김해시 어방동 산2-80,35.25306424,128.887298,6600,사무실+관측실+휴게실+화장실+주차장,없음,,전시동+관측동,,,2002-02-01,500,13,밀레니엄 기념사업의 일환으로 2002년 2월 1일 개관한 영남지역 유일의 시민 천문대,055-330-3901,경상남도 김해시청,2023-12-06,5350000,경상남도 김해시
동악산,관광지,전라남도 곡성군 곡성읍 도림로 175,전라남도 곡성군 곡성읍 월봉리 327,35.26726372,127.2575047,20,주차장+화장실,,,,,,2021-09-01,1000,76,"삼남제일 암반계류 청류동 계곡 풍치 일품인 동악산 (위치 : 곡성읍~입면, 높이 : 736.8m)우선 動樂山을 동락산 이라 읽지 않고, 동악산 이라 읽는 까닭부터 밝혀야 이 산을 이해하는데 도움이 되겠다. 대개 樂 은 뒤에 딸려 나올 때 락으로 읽힌다. 도락산(道樂山)이니 진락산(眞樂山)이니 하는 것이 그런 경우인데, 이 경우는 즐거울 락의 경우다. 그러나 동악산의 경우에는 풍류 악으로 읽어야 한다. 천상의 노래, 즉 음악이 울린다(동한다)는 전설에서 비롯되기 때문이다. 유래는 이렇다. 이 산의 개산조인 원효대사가 성출봉(聖出峰 형제봉 동봉으로 동악산 최고봉) 아래에 길상암을 짓고 원효골(청류동 남쪽 골짜기)에서 도를 베풀고 있는데 하루는 꿈에 성출봉과 16아라한이 그를 굽어보는지라 깨어나 즉시 성출봉에 올라가 보았더니 1척 남짓한 아라한 석상들이 솟아났다는 것이다.원효가 열일곱 차례나 성출봉을 오르내리면서 아라한 석상들을 길상암에 모셔 놓으니 육시(六時) - 불교에서 하루를 여섯으로 나눈 염불독경의 시각으로 신조, 일중, 일몰, 초야, 중야, 후야- 만 되면 천상에서 음악이 들려 온 산에 퍼졌다 한다. 도림사 응진전에 봉안된 아라한상들이 당시의 것이라 전해지고 있으나 신빙성은 없다.마을 주민들은 곡성 마을에서 장원급제자가 탄생하게 되면 이 산에서 노래가 울려 펴졌다고도 한다. 남원 실상사 약사전의 약사여래상처럼 나라에 불길한 징후가 나타나면 땀을 흘리는 흉조를 나타내는 불상이 있는가 하면 동악산처럼 길조를 알리는 산도 있기 마련이다. 곡성의 진산인 동악산은 크게 두 산덩어리가 남북으로 놓여 있다. 각 산덩어리에는 비슷한 높이의 정상이 있는데 이 두 산덩어리를 가르는 것이 배넘이재이고, 남봉(형제봉·동봉과 서봉으로 형성돼 북봉에 동악산, 남봉에 형제봉 이라 표기해 놓고 있지만 최고봉은 형제봉이 된다. 산이름의 유래가 성출봉(형제봉 동봉)에서 유래됐다는 것과 주요 등산로가 형제봉을 중심으로 더 잘 나 있다는 점은 형제봉이 동악산의 주봉임을 뒷받침해 주고 있다.이",061-360-8772,전라남도 곡성군청 산림과,2023-08-01,4860000,전라남도 곡성군
김포국제조각공원,관광지,경기도 김포시 월곶면 용강로13번길 38,경기도 김포시 월곶면 고막리 82-1,37.72080378,126.552204,765,월곶면사무소,"문수산농원펜션, 동막골캠프,문소골산장,김포관광농원,평화누리길게스트하우스",,문수산삼림욕장,,,1998-01-01,150,221,통일을 주제로 조성된 테마공원으로 세계적인 조각의 작품 30여점이 전시되어 있다. 산책로를 따라 조각작품이 전시되어 있어 산림욕을 즐기면서 조각작품을 감상할 수 있다.,031-984-5167,김포문화재단,2023-09-19,4090000,경기도 김포시
아트빌리지(한옥마을),관광지,경기도 김포시 모담공원로 170,경기도 김포시 운양동 1325-1,37.6466321,126.696212,80000,"화장실, 주차장",전통한옥숙박시설,전통놀이체험,"한옥마을,문화원,카페,공방,꽃집,",음식점,,2018-03-03,1000,142,"김포시 운양동 모담산 자락에 안겨 있는 김포아트빌리지는 모담산이 주는 소담한 자연의 아름다움이 느껴지는 자연친화적 문화 · 예술 공간으로서, 다양한 문화예술을 창작하고 체험할 수 있는 예술 공방, 전통한옥숙박체험관이 있고 지역문화예술 단체의 창작 활동 공간인 아트센터에는, 다목적홀, 전시관이 있으며 또한 천여 명의 관객을 수용할 수 있는 자연과 어우러지는 야외공연장으로 구성되어 있습니다.",031-996-6836,김포문화재단,2023-09-19,4090000,경기도 김포시
예천포리관광지,관광지,경상북도 예천군 감천면 복골길 150,경상북도 예천군 감천면 포리 688,36.70015808,128.514204,210241,주차장+화장실+휴게공간,,다목적운동장+체력단련장+전통놀이광장,박물관,,,2004-11-08,600,150,"내성천 지류가 자연석과 어울려 경관이 수려하며, 충효테마공원에서 충효 체험이 가능함.",054-650-6394,경상북도 예천군청,2023-09-16,5230000,경상북도 예천군
예천삼강,관광지,경상북도 예천군 풍양면 삼강리길 53-23,경상북도 예천군 풍양면 삼강리 58-1,36.56378393,128.304509,210389,도로+마당+종합안내센터+주차장+공급처리시설+화장실,전통가옥체험장+강문화체험 휴·유·락마을,,강문화전시관,,,2014-04-28,300,100,"자연과 문호, 사람과 역사가 함께 공존하는 예천의 신개념 문화체험공간",054-650-6802,경상북도 예천군청,2023-09-16,5230000,경상북도 예천군
청도박물관,관광지,경상북도 청도군 이서면 이서로 567,경상북도 청도군 이서면 양원리 129-5,35.6942561,128.6865383,1941,화장실+주차장+고고역사관+민속관+전시실+어린이체험실,,,박물관,,,2013-12-14,40,40,폐교를 새단장하여 만든 청도 최초의 종합박물관으로 고대부터 근현대까지 청도의 다양한 역사 문화자료를 수집 전시하고 있다.,054-370-2282,경상북도 청도군청 문화관광과,2023-08-31,5190000,경상북도 청도군
한국코미디타운,관광지,경상북도 청도군 이서면 이서로 565,경상북도 청도군 이서면 양원리 91-3,35.69358927,128.6863109,9671,주차장+화장실,,,박물관,다목적홀+공연장+카페,,2017-01-11,300,27,한국코미디역사를 재조명하고 관련 자료를 체계적으로 보존하고 있다. 주말이면 코미디 공연 등이 열려 사람들에게 웃음을 선사한다.,054-372-8700,경상북도 청도군청 문화관광과,2023-08-31,5190000,경상북도 청도군
청도소싸움미디어체험관,관광지,경상북도 청도군 화양읍 남성현로 346,경상북도 청도군 화양읍 삼신리 1059-1,35.68529236,128.7242012,7276,주차장+화장실+수유실,,,박물관,,,2012-04-18,300,45,"소싸움의 유래부터 오늘날의 소싸움까지 알수 있다. 체험장, 4D영화관, 유아놀이관 등 편의시설을 갖추고 있다.",054-373-2076,경상북도 청도군청 문화관광과,2023-08-31,5190000,경상북도 청도군
서울 한양도성(서울성곽),관광지,,서울특별시 용산구 후암동 산1-2,37.551483,126.9853755887,1311.15,화장실+주차장,,,,,,1963-01-21,87,0,"조선왕조 도읍지인 한성부의 경계를 표시하고 그 권위를 드러내며, 외부의 침입을 막기 위해 축조된 성이다.",02-2133-2658,서울문화재청,2022-12-07,3020000,서울특별시 용산구
후암동 조선은행 사택지,관광지,서울특별시 용산구 후암로16가길 7,서울특별시 용산구 후암동 247-57,37.547716,126.9786783004,2120.2,지하주차장,,,,,,1905-03-28,141,0,일제강점기인 1920년대 서울의 도시화와 함께 후암동 일대가 본격적으로 개발되는 가운데 생긴 대표적인 문화주택지였다.,02-759-4114,한국은행,2022-12-07,3020000,서울특별시 용산구
서울 해병대사령부 초대교회,관광지,,서울특별시 용산구 용산동2가 2-18,37.5430344490,126.982882,262.5,화장실+주차장,,,,,,2017-02-15,20,10,"1951년 해병대 초대교회로 시작되었으며, 우리나라 군(軍)에 남아있는 교회 중에서 가장 오래된 교회이다.",1577-9090,국방부,2022-12-07,3020000,서울특별시 용산구
소촌아트팩토리,관광지,광주광역시 광산구 소촌로85번길 14-9,광주광역시 광산구 소촌동 845,35.1526623,126.7908822,2454,화장실+주차장,,,,,,2015-12-24,102,23,"광주 최초의 산업단지 문화재생시설인 소촌아트팩토리는 낡고 오래된 민방위비상대피시설(방공호)과 아시아문화중심도시 홍보관(아시아문화마루)으로 사용되었던 폐컨테이너를 조합해 리뉴얼한 복합문화공간이다.2015년 개관하였으며 ‘큐브미술관’, ‘아르코공연연습센터’, ‘유노윤호 작은도서관 HUG’ 및 부대시설 등을 갖추고 있다. 오랫동안 쓸모없이 방치되었던 유휴공간이 문화예술 콘텐츠 융합을 통해 시민들의 일상을 풍요롭게 하는 혁신공간으로 재탄생한 것이다.",062-960-3688,광주광역시 광산구청,2023-03-03,3630000,광주광역시 광산구
별밤미술관 in 첨단,관광지,광주광역시 광산구 첨단중앙로182번길 39,광주광역시 광산구 쌍암동 653-1,35.22222807,126.8442514,126.79336,없음,,,,,,2020-09-17,0,0,"코로나19 팬데믹으로 위축된 예술인들의 활동을 장려하고 대중 속에서 꽃피는 전시문화를 위해, 주민들이 즐겨 찾는 거점공간에 비대면 간이 미술관 5개소를 조성 및 운영하고있습니다.  별밤미술관은 탁 트인 야외 공원에 위치하고 있고 저녁 시간에 운영하기 때문에 직장에 다니거나 일을 하느라 바쁜 일상에서 일부러 시간을 낼 필요도 없습니다. 퇴근 후 동네 공원에서 산책하시거나 운동하시면서 좋은 작품을 여유롭게 즐기시기만 하면 됩니다.",062-960-3688,광주광역시 광산구청,2023-03-03,3630000,광주광역시 광산구
별밤미술관 in 수완,관광지,,광주광역시 광산구 신가동 1051,35.18611658,126.8193296,40,없음,,,,,,2021-02-26,0,0,"코로나19 팬데믹으로 위축된 예술인들의 활동을 장려하고 대중 속에서 꽃피는 전시문화를 위해, 주민들이 즐겨 찾는 거점공간에 비대면 간이 미술관 5개소를 조성 및 운영하고있습니다.  별밤미술관은 탁 트인 야외 공원에 위치하고 있고 저녁 시간에 운영하기 때문에 직장에 다니거나 일을 하느라 바쁜 일상에서 일부러 시간을 낼 필요도 없습니다. 퇴근 후 동네 공원에서 산책하시거나 운동하시면서 좋은 작품을 여유롭게 즐기시기만 하면 됩니다.",062-960-3688,광주광역시 광산구청,2023-03-03,3630000,광주광역시 광산구
별밤미술관 in 운남,관광지,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,35.17144137,126.8159402,40,없음,,,,,,2021-03-22,0,0,"코로나19 팬데믹으로 위축된 예술인들의 활동을 장려하고 대중 속에서 꽃피는 전시문화를 위해, 주민들이 즐겨 찾는 거점공간에 비대면 간이 미술관 5개소를 조성 및 운영하고있습니다.  별밤미술관은 탁 트인 야외 공원에 위치하고 있고 저녁 시간에 운영하기 때문에 직장에 다니거나 일을 하느라 바쁜 일상에서 일부러 시간을 낼 필요도 없습니다. 퇴근 후 동네 공원에서 산책하시거나 운동하시면서 좋은 작품을 여유롭게 즐기시기만 하면 됩니다.",062-960-3688,광주광역시 광산구청,2023-03-03,3630000,광주광역시 광산구
마한문화,관광지,전라남도 영암군 시종면 남해당로 65,전라남도 영암군 시종면 옥야리 956,34.89539241,126.5859196,182000,비지터센터+화장실(3동)+주차장,,야구장,"고분탐사관,전망대",,,2003-07-28,650,85,영산강 유역에 분포되어 있는 고대 옹관 고분을 이해함으로써 영산강 유역의 독자성이 가득한 고대사를 조명하기 위해 조성,061-470-6672,전라남도 영암군청,2023-02-08,4940000,전라남도 영암군
통명산,관광지,,전라남도 곡성군 삼기면 금계리 산 137-1,35.20404024,127.2592454,33,주차장,,,,,,2021-09-01,1500,10,"곡성 제1고봉···섬진강과 보성강 가르는 맹주 통명산. 지금은 곡성의 제1명산을 동악산으로 꼽는 데에 이견이 없지만 동악산은 곡성 제1고봉이 아니다. 곡성의 제1고봉은 통명산이다. 물론 높다고 명산이 되는 것은 아니다. 동악산은 곡성의 배후산이자 도림사계곡은 삼남 제일의 암반계류 라 일컬어질 정도로 유명하고 특히 이곳 봄 벚꽃은 상춘객들에게 큰 기쁨을 주고 있다. 통명산은 지리상으로도 중요한 위치를 점하고 있다. 통명산을 주산으로 하는 통명산~주부산~곤명산 산괴가 바로 섬진강과 보성강을 가르고 있기 때문이다. 통명산 정상에 서면 곡성의 산악이 크게 동악산 산괴, 통명산 산괴, 봉두산 산괴, 그리고 동쪽으로 섬진강 건너 지리산에서 뻗어내린 천마산 산줄기와 서쪽으로 화순군 경계에 모후산 북쪽 줄기인 차일봉~한동산 산줄기로 나뉘는 것을 가늠할 수 있다. 곡성의 지세를 보려면 당연히 통명산에 올라봐야 하는 것이다. 곡성이 배출한 명장 중 신숭겸(申崇兼)과 마천목(馬天牧)은 각각 고려 초와 조선 초에 주군이 나라의 기초를 다지는 데 크게 기여한 장군들로 모두 통명산자락에서 태어났다. 당연히 두 장군에 대한 전설적인 이야기들이 산자락에 널리 있기도 하다. 특히 신숭겸장군의 사당인 덕양서원(오곡면 덕산리)과 마천목 장군의 묘와 사당(석곡면)이 바로 통명산 자락에 있다. 마 장군은 조선 초 제2차 왕자의 난 때 방간이 박포와 같이 난을 일으키자 박포를 잡아베어 난을 평정했다. 위태로운 사직을 구한 공로로 그는 상장군이 되어 나주목사, 전라병사, 병조판서를 거쳐 판돈영부중추원사까지 지냈다.(신숭겸 장군 이야기는 봉두산과 참조). 통명산에는 명당이 많다는 소문이 자자하다. 또한 지명이 풍수적 해석으로 붙은 곳도 여럿 있다. 통명산 남쪽, 죽곡면 봉정리의 이름도 그런 예 중의 하나다. 주부산에서 성주봉을 거쳐 짧은 지능선이 장군봉과 천덕산 사이를 비집고 내려선 그 아래에 있는 이 마을은 포란비봉(抱卵飛峰) 형국으로 장자등을 봉황의 몸통으로, 천덕산과 통명산을 봉황의 날개로, 주부",061-360-8780,전라남도 곡성군청 산림과,2023-08-01,4860000,전라남도 곡성군
조태일시문학기념관,관광지,전라남도 곡성군 죽곡면 태안로 622-38,전라남도 곡성군 죽곡면 원달리 799,35.13351552,127.3685909,5859,주차장,,,,,,2003-06-01,200,9,"조태일 시인(1941~1999년)은 곡성 태안사에서 대처승의 아들로 태어났으며, 1964년 경향신문 신춘문예에 ‘아침선박’의 당선으로 문단에 등단하였다.이후 1969년 시전문지 ‘시인’을 창간하였고, ‘식칼론’을 비롯하여 여덟권의 시집을 간행하였다.시문학기념관과 시집전시관은 문단에 길이 남을 민족시인 조태일의 문학세계를 기리고, 예비 문학도들의 창작 공간 마련을 위하여 2003년도에 건립 되었으며, 태안사를 찾는 관광객은 물론 전국의 많은 문학인들이 이곳을 찾고 있다.「조태일 시문학 기념관」은 조태일 시인의 유품과 작품, 시인을 기리는 문학 작품 등 2,000여점이 전시되어 있으며, 「시집전시관」은 우리나라 최초의 근대시집인 최남선의 ‘백팔번뇌’, 최초의 번역시집 ‘오뇌의 무도’ 등 희귀본에서 최근 작품까지 3,000여점의 시집이 전시되어 있다.소박미가 넘치는 시문학관 건물은 시인 이윤하(건축사사무소 노둣돌 대표)의 설계로 지어져, 제1회 대한민국 목조건축 대전에서 본상을 수상했다.어쩌면, 조태일 시문학관 그 자체가 조태일을 표현하는 한편의 시다.",061-362-5868,전라남도 곡성군청 문화체육과,2023-08-01,4860000,전라남도 곡성군
남원백두대간생태교육장전시관,관광지,전라북도 남원시 운봉읍 운봉로 151,,35.397328,127.5079302,33000,주차장,,어린이 놀이시설,야외공연장,,,2016-04-26,1000,95,"지리산의 상징성과 백두대간의 역사·생태·보존의 최적지인 남원에 백두대간 생태교육장 전시관이 조성되었습니다. 전시관은 한반도 지도 형상을 본 따 만든 곡선의 전시관 지붕외관에서부터 우리나라의 중심축인 백두대간의 모든 것을 알고 보고 체험 할 수 있는 갖가지 내용물 등이 전시되어 있습니다. 전시관 주요시설로는 상설전시실, 기획전시실, 호남 최초로 시도하는 5D서클영상관, 카페테리아 등이 있으며 부대시설로는 야외공연장, 곤충온실, 체육시설 등이 있습니다",063-620-5752,전라북도 남원시청,2023-12-26,4700000,전라북도 남원시
만인의총,관광지,전라북도 남원시 만인로 3,,35.420404,127.377325,10866,주차장,,,,,,1981-04-01,1000,50,만인의총은 정유재란(1597년)때 남원성 전투에서 순절한 민·관·군 1만여 의사들의 호국의 얼이 서려있는 성스러운 곳이다,063-636-9321,문화재청,2023-12-26,4700000,전라북도 남원시
아담원,관광지,전라북도 남원시 이백면 목가길 193,,35.440571,127.476826,26446,주차장,,,커피숍,,,2018-08-01,1000,40,"아담원은 본래 나무를 키우던 조경농원이었던 곳으로 지난 10년간 정성으로 가꾸어 아름다운 정원으로 재탄생 하였습니다. 나무 한 주, 풀 한포기까지 엄선하여 심고, 관리하여 지리산자락의 비경과 함께 훌륭한 힐링의 장을 제공해 줄 것입니다. 아무쪼록 방문하시어 편안한 휴식을 만끽하시길 바랍니다",063-635-8342,아담원,2023-12-26,4700000,전라북도 남원시
남원관광지,관광지,전라북도 남원시 양림길 12,,35.402481,127.386137,909510,관리사무소+주차장+화장실,켄싱턴리조트+춘향가호텔+남원파크+호텔춘향+리버모텔+드라마모텔+마음호텔,오리보트장+궁술장,남원랜드+국립국악원+동백연죽전시장+춘향테마파크+향토박물관+사랑의 광장,,,1985-10-10,1000,255,"남원하면 떠오르는 모든 상징물과 위락시설들을 모아 놓은 종합관광단지이다. 남원시 어현동 일대에 자리하고 있다. 한국관광공사가 조성한 남원관광단지에는 춘향전과 관련된 춘향테마파크, 춘향문화예술회관을 비롯해 국립민속국악원, 남원향토박물관 등의 문화시설이 있다.",063-620-8911,전라북도 남원시청,2023-12-26,4700000,전라북도 남원시
으능정이문화의거리,관광지,대전광역시 중구 중앙로 170,대전광역시 중구 은행동 45-10,36.32934665,127.428337,630.8,Y,N,Y,Y,N,Y,2019-01-01,5000,355,Y,042-252-7100,N,2021-10-27,6300000,대전광역시
유성온천,관광지,대전광역시 유성구 계룡로60,대전광역시 유성구 봉명동 574,36.3547298,127.3375865,273970,Y,N,Y,Y,N,Y,2019-01-01,3000,0,Y,042-611-2114,N,2021-10-27,6300000,대전광역시
화암관광지,관광지,강원도 정선군 화암면 화암동굴길 12-13,강원도 정선군 화암면 화암리 540-12,37.35092374,128.7896216,213235,도로주차장관리사무소+화장실 등,,다목적광장 등,향토박물관+금광촌 등,,,1977-03-17,100000,500,천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음,033-560-2145,강원도 정선군청,2022-11-25,4290000,강원도 정선군
아우라지 관광지,관광지,강원도 정선군 여량면 아우라지길 69,강원도 정선군 여량면 여량리 186-1,37.47574407,128.7243663,122244,도로주차장관리사무소+화장실 등,,다목적운동장 등,아리랑전수관+달오름공원 등,,,2002-09-13,100000,100,천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음,033-560-2145,강원도 정선군청,2022-11-25,4290000,강원도 정선군
